Incident_ID,Fraud_Type_Code,Victim_District_Code,Time_of_Day_Code,Amount_Bracket_Code,Target_ATM_Zone_Code
INC-10199,0,10,2,0,0
INC-10200,1,2,0,0,7
INC-10201,1,6,2,1,0
INC-10202,6,7,3,2,6
INC-10203,0,1,2,1,0
INC-10204,3,5,3,3,4
INC-10205,0,7,3,0,0
INC-10206,3,0,3,3,4
INC-10207,1,8,2,0,3
INC-10208,3,1,3,3,9
INC-10209,3,6,3,2,1
INC-10210,4,3,0,2,5
INC-10211,3,2,3,3,4
INC-10212,0,0,0,0,7
INC-10213,7,4,3,2,0
INC-10214,7,0,1,2,9
INC-10215,0,4,2,0,4
INC-10216,1,2,1,0,3
INC-10217,3,2,3,3,4
INC-10218,2,4,1,1,7
INC-10219,7,10,2,2,4
INC-10220,2,3,2,1,3
INC-10221,3,7,3,3,4
INC-10222,5,0,3,3,1
INC-10223,4,10,1,1,1
INC-10224,6,3,3,2,1
INC-10225,0,5,1,0,0
INC-10226,0,6,1,1,3
INC-10227,0,6,1,0,7
INC-10228,6,4,3,3,6
INC-10229,7,6,1,2,3
INC-10230,5,7,3,3,1
INC-10231,2,9,1,1,0
INC-10232,0,9,2,1,7
INC-10233,4,0,2,2,7
INC-10234,0,6,2,0,0
INC-10235,0,8,0,1,0
INC-10236,2,10,1,1,0
INC-10237,7,4,0,1,5
INC-10238,6,3,3,3,9
INC-10239,4,5,0,2,4
INC-10240,6,7,3,3,9
INC-10241,6,4,3,2,4
INC-10242,0,5,2,1,2
INC-10243,3,6,3,3,6
INC-10244,7,4,3,2,1
INC-10245,2,7,1,0,3
INC-10246,1,10,1,0,0
INC-10247,4,1,0,2,1
INC-10248,7,8,0,2,8
INC-10249,7,8,3,1,8
INC-10250,7,2,1,1,8
INC-10251,3,4,0,3,7
INC-10252,5,3,3,3,9
INC-10253,4,9,1,2,8
INC-10254,2,5,1,1,0
INC-10255,2,5,0,1,7
INC-10256,3,1,3,3,9
INC-10257,2,2,2,0,7
INC-10258,4,1,0,1,6
INC-10259,6,1,0,3,2
INC-10260,2,4,0,0,2
INC-10261,1,6,0,1,7
INC-10262,2,8,3,1,7
INC-10263,6,0,3,3,2
INC-10264,1,10,2,1,3
INC-10265,6,6,3,3,6
INC-10266,1,2,2,0,7
INC-10267,7,4,0,2,1
INC-10268,2,8,2,0,0
INC-10269,0,2,1,1,3
INC-10270,1,8,0,1,2
INC-10271,2,10,0,0,7
INC-10272,6,5,0,2,0
INC-10273,1,0,0,1,0
INC-10274,0,4,0,1,3
INC-10275,2,9,0,0,7
INC-10276,1,5,1,0,7
INC-10277,7,10,0,1,4
INC-10278,4,0,3,2,5
INC-10279,6,6,3,3,6
INC-10280,2,8,2,1,2
INC-10281,6,8,3,3,1
INC-10282,1,7,0,1,7
INC-10283,4,4,2,1,5
INC-10284,3,0,3,3,4
INC-10285,2,10,0,1,2
INC-10286,6,7,3,2,1
INC-10287,3,6,0,3,6
INC-10288,3,6,0,3,5
INC-10289,3,1,3,3,6
INC-10290,1,8,1,1,0
INC-10291,0,1,0,0,2
INC-10292,3,3,3,3,9
INC-10293,6,0,3,3,4
INC-10294,2,0,1,1,2
INC-10295,6,2,3,2,1
INC-10296,4,6,0,1,8
INC-10297,3,9,3,2,6
INC-10298,4,2,3,1,5
INC-10299,4,10,2,2,3
INC-10300,2,3,2,0,7
INC-10301,2,9,3,0,7
INC-10302,4,8,3,1,8
INC-10303,5,0,3,3,3
INC-10304,7,1,0,2,4
INC-10305,5,6,3,3,1
INC-10306,2,1,2,0,7
INC-10307,4,0,1,1,7
INC-10308,5,3,3,3,9
INC-10309,5,6,2,2,0
INC-10310,7,9,3,1,3
INC-10311,4,5,3,1,5
INC-10312,3,10,3,3,6
INC-10313,6,2,3,3,4
INC-10314,2,10,1,1,7
INC-10315,7,0,1,2,6
INC-10316,6,9,3,3,4
INC-10317,4,3,0,2,2
INC-10318,3,4,3,3,9
INC-10319,3,6,3,3,4
INC-10320,7,7,0,1,8
INC-10321,1,2,1,1,3
INC-10322,0,8,0,1,0
INC-10323,1,7,2,1,2
INC-10324,2,1,0,1,7
INC-10325,3,8,3,3,1
INC-10326,3,1,3,3,6
INC-10327,5,9,3,3,1
INC-10328,6,7,3,3,6
INC-10329,6,2,3,3,6
INC-10330,6,6,3,3,1
INC-10331,1,3,1,1,0
INC-10332,5,5,3,3,1
INC-10333,4,2,3,1,9
INC-10334,4,2,3,1,5
INC-10335,0,3,0,0,7
INC-10336,3,6,3,3,1
INC-10337,7,4,3,1,8
INC-10338,4,0,0,1,2
INC-10339,3,4,3,3,6
INC-10340,7,7,3,1,9
INC-10341,3,9,3,2,9
INC-10342,4,10,3,2,3
INC-10343,3,8,3,2,4
INC-10344,4,4,3,2,7
INC-10345,0,7,3,1,6
INC-10346,5,1,0,2,0
INC-10347,0,1,2,0,2
INC-10348,0,3,1,0,0
INC-10349,4,0,3,2,5
INC-10350,2,3,1,1,3
INC-10351,7,0,2,1,5
INC-10352,0,0,0,1,0
INC-10353,7,2,3,2,1
INC-10354,7,0,0,2,5
INC-10355,0,10,1,0,2
INC-10356,4,0,3,2,5
INC-10357,5,10,3,3,6
INC-10358,1,4,0,1,7
INC-10359,6,1,1,3,1
INC-10360,0,5,2,0,7
INC-10361,3,2,3,2,9
INC-10362,5,10,3,3,8
INC-10363,1,6,2,0,8
INC-10364,6,7,3,3,4
INC-10365,2,1,1,1,0
INC-10366,4,5,3,1,4
INC-10367,0,9,3,0,5
INC-10368,0,2,2,1,0
INC-10369,0,4,2,0,0
INC-10370,1,3,2,0,0
INC-10371,1,0,1,0,7
INC-10372,0,7,2,1,7
INC-10373,6,8,3,3,0
INC-10374,1,8,3,1,4
INC-10375,0,4,2,0,2
INC-10376,4,0,1,1,5
INC-10377,2,1,0,0,0
INC-10378,1,3,0,0,0
INC-10379,1,4,0,1,2
INC-10380,5,4,3,3,6
INC-10381,7,8,3,2,5
INC-10382,2,8,1,0,3
INC-10383,4,1,2,2,2
INC-10384,1,0,1,0,7
INC-10385,0,5,2,1,0
INC-10386,3,6,3,3,1
INC-10387,7,3,1,1,9
INC-10388,4,1,0,2,6
INC-10389,3,0,3,3,4
INC-10390,5,1,3,3,4
INC-10391,5,1,3,2,1
INC-10392,1,9,2,1,0
INC-10393,6,10,3,3,6
INC-10394,2,10,1,0,3
INC-10395,3,9,3,2,6
INC-10396,3,2,3,2,4
INC-10397,3,9,3,2,4
INC-10398,4,0,1,1,2
INC-10399,5,6,3,2,9
INC-10400,0,0,2,1,3
INC-10401,3,3,3,3,1
INC-10402,0,10,1,0,7
INC-10403,4,7,0,2,6
INC-10404,3,3,0,3,2
INC-10405,1,6,1,1,2
INC-10406,5,8,3,3,1
INC-10407,0,7,0,1,0
INC-10408,4,0,1,2,3
INC-10409,6,4,3,3,4
INC-10410,4,3,1,2,6
INC-10411,3,8,3,3,6
INC-10412,6,9,3,3,6
INC-10413,0,1,2,0,2
INC-10414,7,1,3,1,1
INC-10415,3,9,3,3,9
INC-10416,6,2,3,2,9
INC-10417,6,2,3,3,6
INC-10418,2,5,1,0,2
INC-10419,3,0,3,3,1
INC-10420,5,0,3,3,6
INC-10421,0,2,1,1,0
INC-10422,2,7,1,0,9
INC-10423,6,2,3,2,1
INC-10424,5,2,3,3,6
INC-10425,4,4,0,2,8
INC-10426,2,0,1,0,3
INC-10427,1,1,1,0,2
INC-10428,3,4,1,3,4
INC-10429,1,7,2,0,3
INC-10430,0,4,1,0,7
INC-10431,3,8,3,2,9
INC-10432,3,10,3,3,1
INC-10433,4,0,3,2,9
INC-10434,7,1,0,1,8
INC-10435,6,3,3,3,9
INC-10436,7,1,2,1,0
INC-10437,1,3,0,0,0
INC-10438,5,1,3,3,1
INC-10439,1,1,0,0,2
INC-10440,3,7,3,2,9
INC-10441,7,7,3,1,5
INC-10442,2,3,3,1,2
INC-10443,7,2,2,1,6
INC-10444,7,9,2,2,1
INC-10445,3,1,3,3,1
INC-10446,1,5,2,1,4
INC-10447,7,4,2,2,1
INC-10448,7,0,1,2,0
INC-10449,2,4,1,0,3
INC-10450,4,5,0,1,6
INC-10451,5,6,0,3,5
INC-10452,1,4,0,0,7
INC-10453,1,1,3,1,5
INC-10454,6,1,3,3,4
INC-10455,2,8,1,0,0
INC-10456,2,0,2,1,7
INC-10457,4,2,3,2,8
INC-10458,4,4,0,1,7
INC-10459,1,6,2,0,3
INC-10460,7,4,0,2,8
INC-10461,1,1,1,1,9
INC-10462,6,1,3,3,9
INC-10463,4,4,2,2,0
INC-10464,7,2,2,2,3
INC-10465,6,6,3,3,6
INC-10466,2,9,2,0,2
INC-10467,2,4,1,1,7
INC-10468,7,9,0,2,5
INC-10469,4,1,1,2,6
INC-10470,2,5,1,0,2
INC-10471,5,7,3,3,4
INC-10472,6,8,3,3,2
INC-10473,7,4,1,2,8
INC-10474,4,7,3,2,2
INC-10475,5,2,3,3,1
INC-10476,7,4,1,1,7
INC-10477,3,6,3,3,6
INC-10478,2,8,2,1,7
INC-10479,0,7,1,0,7
INC-10480,0,10,2,0,2
INC-10481,7,10,3,1,3
INC-10482,2,0,1,1,3
INC-10483,4,3,2,1,2
INC-10484,7,10,3,1,9
INC-10485,4,1,3,2,5
INC-10486,6,10,3,3,4
INC-10487,6,7,3,3,0
INC-10488,1,10,1,0,3
INC-10489,3,1,3,3,9
INC-10490,7,1,2,1,0
INC-10491,7,1,0,2,9
INC-10492,3,10,3,3,1
INC-10493,3,10,3,3,4
INC-10494,3,1,3,2,9
INC-10495,5,6,3,2,1
INC-10496,5,9,3,3,1
INC-10497,5,2,3,2,0
INC-10498,2,10,1,0,2
INC-10499,5,3,0,3,2
INC-10500,0,4,1,0,7
INC-10501,2,4,2,1,2
INC-10502,0,10,2,0,0
INC-10503,1,9,1,1,0
INC-10504,3,0,3,3,4
INC-10505,1,6,1,1,2
INC-10506,3,6,1,2,2
INC-10507,6,4,3,3,9
INC-10508,1,10,3,0,7
INC-10509,1,0,2,1,9
INC-10510,1,3,2,1,4
INC-10511,7,0,3,1,7
INC-10512,7,1,3,2,4
INC-10513,1,1,1,0,3
INC-10514,7,4,1,2,3
INC-10515,4,6,1,2,1
INC-10516,4,6,3,2,3
INC-10517,7,6,3,2,0
INC-10518,1,2,0,1,3
INC-10519,2,5,2,0,3
INC-10520,5,1,3,3,9
INC-10521,7,4,3,2,4
INC-10522,2,5,2,1,3
INC-10523,6,8,3,2,6
INC-10524,7,1,1,2,3
INC-10525,7,10,0,2,0
INC-10526,0,5,2,0,0
INC-10527,4,8,1,2,9
INC-10528,3,10,0,3,5
INC-10529,2,0,0,1,7
INC-10530,3,5,3,2,6
INC-10531,3,1,3,3,9
INC-10532,2,8,2,0,7
INC-10533,3,0,3,3,1
INC-10534,4,2,1,2,2
INC-10535,2,4,0,1,0
INC-10536,5,3,3,3,6
INC-10537,2,6,0,1,1
INC-10538,6,3,1,3,1
INC-10539,0,6,2,1,3
INC-10540,0,3,3,1,8
INC-10541,5,5,3,3,0
INC-10542,1,0,2,1,3
INC-10543,3,10,3,3,4
INC-10544,0,6,1,0,7
INC-10545,0,0,3,1,8
INC-10546,5,0,3,3,4
INC-10547,5,7,3,3,1
INC-10548,2,9,0,0,2
INC-10549,0,8,2,0,7
INC-10550,4,5,2,2,5
INC-10551,0,1,0,0,3
INC-10552,6,0,3,3,1
INC-10553,3,1,3,3,1
INC-10554,2,7,2,1,3
INC-10555,5,0,3,3,9
INC-10556,3,2,1,3,3
INC-10557,7,3,1,2,7
INC-10558,3,0,3,3,4
INC-10559,7,2,2,1,8
INC-10560,1,8,0,1,2
INC-10561,7,6,3,2,9
INC-10562,2,10,0,1,2
INC-10563,1,8,1,1,2
INC-10564,5,2,3,3,1
INC-10565,1,3,1,0,3
INC-10566,2,1,0,1,7
INC-10567,2,8,2,1,2
INC-10568,4,2,3,2,1
INC-10569,6,8,3,3,6
INC-10570,6,5,3,2,4
INC-10571,2,2,1,1,0
INC-10572,4,7,1,1,3
INC-10573,6,6,3,3,6
INC-10574,7,8,1,2,0
INC-10575,1,7,1,1,7
INC-10576,6,5,3,3,4
INC-10577,3,7,3,3,9
INC-10578,7,5,2,1,9
INC-10579,3,0,3,3,4
INC-10580,2,0,1,0,0
INC-10581,2,8,0,1,3
INC-10582,1,3,2,1,2
INC-10583,0,3,2,0,3
INC-10584,0,9,1,0,2
INC-10585,4,4,0,2,9
INC-10586,0,8,1,1,2
INC-10587,1,0,2,1,2
INC-10588,2,2,1,0,3
INC-10589,0,8,0,0,2
INC-10590,0,5,1,1,0
INC-10591,4,7,1,2,1
INC-10592,3,10,3,2,1
INC-10593,2,6,0,0,3
INC-10594,4,8,3,1,1
INC-10595,6,2,3,3,1
INC-10596,0,2,1,0,3
INC-10597,3,2,3,3,9
INC-10598,1,1,0,0,3
INC-10599,4,5,0,2,9
INC-10600,7,5,2,1,0
INC-10601,5,2,3,2,6
INC-10602,0,0,2,0,3
INC-10603,2,0,1,1,3
INC-10604,6,4,3,3,6
INC-10605,6,9,3,2,6
INC-10606,7,7,3,1,1
INC-10607,3,10,3,3,6
INC-10608,3,5,3,3,6
INC-10609,5,0,3,3,6
INC-10610,0,0,0,0,2
INC-10611,2,8,2,0,3
INC-10612,0,6,2,1,3
INC-10613,0,1,2,0,0
INC-10614,4,4,3,1,1
INC-10615,6,5,3,3,6
INC-10616,5,0,3,3,1
INC-10617,4,7,3,2,4
INC-10618,6,3,3,3,6
INC-10619,7,7,3,2,0
INC-10620,5,9,3,3,6
INC-10621,6,3,3,3,4
INC-10622,6,4,3,3,6
INC-10623,1,2,0,0,2
INC-10624,5,6,3,2,4
INC-10625,6,10,3,2,1
INC-10626,2,10,1,0,0
INC-10627,5,1,3,3,9
INC-10628,4,9,2,1,7
INC-10629,3,4,3,3,9
INC-10630,2,1,0,1,0
INC-10631,4,5,3,1,3
INC-10632,0,10,2,1,2
INC-10633,7,0,0,1,6
INC-10634,6,1,3,3,9
INC-10635,0,6,3,1,5
INC-10636,2,2,2,0,0
INC-10637,1,9,1,1,2
INC-10638,2,6,1,1,7
INC-10639,5,5,3,3,1
INC-10640,7,2,3,1,7
INC-10641,0,8,0,0,3
INC-10642,3,0,3,3,4
INC-10643,1,10,0,0,2
INC-10644,0,7,2,1,0
INC-10645,0,10,0,1,7
INC-10646,4,6,0,2,2
INC-10647,6,5,0,3,3
INC-10648,6,1,3,3,4
INC-10649,6,1,3,3,9
INC-10650,2,8,2,0,3
INC-10651,2,1,1,0,3
INC-10652,5,2,3,2,4
INC-10653,7,9,0,2,3
INC-10654,5,6,3,3,9
INC-10655,5,9,3,2,1
INC-10656,7,9,0,2,7
INC-10657,5,0,3,3,9
INC-10658,5,4,3,3,1
INC-10659,4,3,0,1,2
INC-10660,3,1,3,3,1
INC-10661,7,7,2,2,3
INC-10662,2,7,2,1,7
INC-10663,3,6,3,3,9
INC-10664,1,2,1,1,2
INC-10665,2,1,2,1,7
INC-10666,1,10,0,1,0
INC-10667,6,0,2,3,4
INC-10668,1,2,1,1,7
INC-10669,1,2,0,0,0
INC-10670,2,1,1,0,7
INC-10671,3,6,3,3,9
INC-10672,5,8,3,2,4
INC-10673,7,8,0,2,4
INC-10674,6,6,0,3,0
INC-10675,3,4,3,3,8
INC-10676,3,1,3,3,9
INC-10677,7,8,0,2,6
INC-10678,0,3,3,1,3
INC-10679,3,6,0,3,3
INC-10680,7,0,3,2,5
INC-10681,1,1,1,0,3
INC-10682,0,8,3,0,9
INC-10683,5,9,3,2,9
INC-10684,5,4,3,3,9
INC-10685,7,9,1,1,7
INC-10686,6,3,3,3,1
INC-10687,2,7,0,0,6
INC-10688,6,5,3,3,9
INC-10689,3,8,3,3,9
INC-10690,1,0,2,1,3
INC-10691,3,0,3,3,1
INC-10692,7,10,0,2,0
INC-10693,4,9,1,2,8
INC-10694,5,5,3,3,1
INC-10695,1,3,1,1,3
INC-10696,5,5,3,3,2
INC-10697,1,10,1,1,0
INC-10698,5,8,3,3,4
INC-10699,4,7,0,1,1
INC-10700,2,4,0,0,3
INC-10701,7,3,1,2,6
INC-10702,2,4,0,0,7
INC-10703,5,0,0,3,4
INC-10704,5,5,3,3,6
INC-10705,0,4,2,0,7
INC-10706,1,3,2,1,2
INC-10707,1,8,1,1,2
INC-10708,5,4,3,3,6
INC-10709,6,6,3,3,1
INC-10710,3,7,0,3,6
INC-10711,3,7,3,3,6
INC-10712,5,7,3,2,4
INC-10713,7,8,3,2,7
INC-10714,6,6,3,3,6
INC-10715,6,1,3,3,6
INC-10716,2,5,2,1,3
INC-10717,3,2,3,3,1
INC-10718,1,3,1,0,7
INC-10719,2,4,2,1,7
INC-10720,4,6,1,1,9
INC-10721,6,2,3,3,6
INC-10722,5,0,3,3,4
INC-10723,3,0,3,3,1
INC-10724,3,2,3,3,1
INC-10725,5,3,3,3,1
INC-10726,1,4,2,1,3
INC-10727,7,1,3,1,3
INC-10728,7,5,3,1,8
INC-10729,5,6,3,2,7
INC-10730,3,6,3,2,1
INC-10731,1,9,1,1,5
INC-10732,2,7,3,1,6
INC-10733,4,5,1,1,6
INC-10734,6,8,3,3,4
INC-10735,6,6,3,3,1
INC-10736,3,3,3,3,6
INC-10737,4,3,3,1,5
INC-10738,3,0,3,3,9
INC-10739,4,5,2,2,5
INC-10740,0,10,1,0,2
INC-10741,2,4,0,1,2
INC-10742,5,4,3,3,4
INC-10743,4,5,1,1,5
INC-10744,0,2,0,0,3
INC-10745,5,9,3,2,6
INC-10746,6,8,3,3,4
INC-10747,0,8,3,0,4
INC-10748,0,1,2,1,3
INC-10749,3,10,3,2,6
INC-10750,0,0,1,1,7
INC-10751,5,5,3,3,4
INC-10752,1,6,0,1,2
INC-10753,3,10,3,3,1
INC-10754,5,8,1,3,2
INC-10755,3,10,3,3,4
INC-10756,5,4,3,3,4
INC-10757,4,1,0,1,8
INC-10758,5,2,3,2,9
INC-10759,1,0,0,1,3
INC-10760,6,7,3,3,6
INC-10761,3,7,3,3,9
INC-10762,3,10,3,3,9
INC-10763,5,0,0,3,5
INC-10764,0,9,1,0,2
INC-10765,2,7,2,0,3
INC-10766,6,9,3,3,4
INC-10767,1,9,2,1,0
INC-10768,6,6,3,3,6
INC-10769,2,7,2,1,2
INC-10770,5,4,3,2,4
INC-10771,0,6,0,1,0
INC-10772,0,6,0,0,0
INC-10773,3,6,3,2,1
INC-10774,4,9,3,2,9
INC-10775,1,1,2,0,0
INC-10776,0,5,0,1,0
INC-10777,2,5,1,0,7
INC-10778,6,9,1,2,6
INC-10779,4,7,3,2,5
INC-10780,2,3,1,1,2
INC-10781,7,4,2,1,9
INC-10782,5,5,3,3,9
INC-10783,2,2,3,1,5
INC-10784,7,0,2,1,3
INC-10785,7,6,1,2,9
INC-10786,7,3,1,2,0
INC-10787,2,10,0,0,2
INC-10788,2,2,3,1,7
INC-10789,4,7,0,1,5
INC-10790,6,3,3,3,9
INC-10791,7,1,2,1,4
INC-10792,7,0,0,1,1
INC-10793,4,3,1,2,7
INC-10794,1,2,1,1,0
INC-10795,7,6,1,1,3
INC-10796,2,4,0,0,2
INC-10797,2,10,0,0,0
INC-10798,4,1,3,1,1
INC-10799,0,9,1,0,0
INC-10800,5,4,0,3,6
INC-10801,5,6,3,3,1
INC-10802,5,8,1,3,5
INC-10803,2,8,0,0,7
INC-10804,1,7,1,1,7
INC-10805,0,8,0,0,0
INC-10806,0,1,1,1,3
INC-10807,2,8,2,1,2
INC-10808,2,4,1,1,3
INC-10809,0,9,1,1,5
INC-10810,4,8,2,2,4
INC-10811,3,9,3,3,4
INC-10812,7,10,2,1,4
INC-10813,5,4,3,3,9
INC-10814,3,2,3,3,6
INC-10815,3,8,3,3,4
INC-10816,2,2,1,0,7
INC-10817,3,2,3,3,4
INC-10818,0,2,1,0,0
INC-10819,5,5,3,3,9
INC-10820,6,10,3,3,6
INC-10821,2,3,3,1,7
INC-10822,4,10,3,2,8
INC-10823,3,2,1,3,9
INC-10824,1,9,2,1,2
INC-10825,0,8,0,0,7
INC-10826,0,6,1,0,2
INC-10827,3,7,3,2,4
INC-10828,0,1,2,0,2
INC-10829,3,8,3,3,4
INC-10830,1,4,2,0,7
INC-10831,1,10,2,1,2
INC-10832,4,5,2,2,7
INC-10833,2,10,2,0,0
INC-10834,5,3,1,3,1
INC-10835,4,6,1,1,4
INC-10836,5,0,3,3,5
INC-10837,3,3,3,3,1
INC-10838,4,0,1,2,0
INC-10839,6,9,3,3,9
INC-10840,5,6,3,2,6
INC-10841,0,3,0,0,2
INC-10842,1,5,2,1,7
INC-10843,6,2,3,3,9
INC-10844,7,5,1,2,1
INC-10845,1,8,1,0,7
INC-10846,1,6,2,1,2
INC-10847,0,5,0,1,3
INC-10848,2,7,1,1,2
INC-10849,4,10,3,2,9
INC-10850,0,3,1,0,3
INC-10851,6,0,3,3,4
INC-10852,0,2,2,0,7
INC-10853,7,8,2,1,7
INC-10854,6,10,3,3,4
INC-10855,7,7,3,1,1
INC-10856,3,9,1,3,4
INC-10857,6,5,3,2,6
INC-10858,1,2,1,0,0
INC-10859,2,7,0,0,0
INC-10860,1,10,0,1,3
INC-10861,5,7,0,3,1
INC-10862,5,4,1,3,6
INC-10863,5,3,3,3,4
INC-10864,4,3,1,2,2
INC-10865,7,8,0,1,5
INC-10866,5,3,3,3,1
INC-10867,5,0,3,3,1
