Incident_ID,Victim_District,Fraud_Type,Amount_INR,Time_of_Complaint,Time_to_Withdraw,Target_ATM_Zone,Specific_ATM_Location
INC-10024,Pali,OLX Scam,21358,14:43,1-2 Hours,Mansarovar,"Kotak Mahindra ATM, Patrakar Colony, Mansarovar"
INC-10025,Jodhpur,Investment Scam,58773,23:41,12-24 Hours,Vidyadhar Nagar,"HDFC ATM, Central Spine, Vidyadhar Nagar"
INC-10026,Alwar,Investment Scam,52312,03:46,12-24 Hours,Jhotwara,"HDFC ATM, Kalwar Road, Jhotwara"
INC-10027,Tonk,KYC Fraud,26795,11:01,1-2 Hours,Bani Park,"Kotak Mahindra ATM, Peetal Factory, Bani Park"
INC-10028,Ajmer,OLX Scam,8931,17:07,1-2 Hours,Mansarovar,"HDFC ATM, Kissan Dharam Kanta, Mansarovar"
INC-10029,Bikaner,Investment Scam,242828,02:23,12-24 Hours,Vidyadhar Nagar,"ICICI ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10030,Pali,Credit Card Cloning,150899,01:45,12-24 Hours,Sitapura Industrial,"PNB ATM, RIICO Phase 1, Sitapura Industrial"
INC-10031,Kota,OLX Scam,2686,10:32,1-2 Hours,C-Scheme,"Union Bank ATM, Statue Circle, C-Scheme"
INC-10032,Udaipur,Loan App Fraud,79671,09:39,12-24 Hours,Jagatpura,"ICICI ATM, 7 Number Stand, Jagatpura"
INC-10033,Pali,UPI Scam,13455,17:14,1-2 Hours,Malviya Nagar,"Axis Bank ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10034,Sikar,KYC Fraud,25195,12:45,1-2 Hours,Jagatpura,"Union Bank ATM, SKIT College Road, Jagatpura"
INC-10035,Bhilwara,UPI Scam,27267,15:24,1-2 Hours,Vaishali Nagar,"Axis Bank ATM, Queens Road, Vaishali Nagar"
INC-10036,Udaipur,Investment Scam,160505,00:26,12-24 Hours,Jhotwara,"ICICI ATM, Kanta Chauraha, Jhotwara"
INC-10037,Sikar,OLX Scam,23215,10:59,1-2 Hours,Bani Park,"PNB ATM, Peetal Factory, Bani Park"
INC-10038,Pali,Investment Scam,144748,04:05,12-24 Hours,Vidyadhar Nagar,"ICICI ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-10039,Pali,OLX Scam,18168,17:42,1-2 Hours,Mansarovar,"ICICI ATM, VT Road Chauraha, Mansarovar"
INC-10040,Ajmer,Sextortion,211919,03:13,12-24 Hours,Sitapura Industrial,"SBI ATM, Tonk Road Junction, Sitapura Industrial"
INC-10041,Bikaner,Investment Scam,238000,00:49,12-24 Hours,Vidyadhar Nagar,"Bank of Baroda ATM, Sector 2, Vidyadhar Nagar"
INC-10042,Alwar,Job Fraud,85083,10:17,12-24 Hours,Mansarovar,"PNB ATM, Rajat Path, Mansarovar"
INC-10043,Udaipur,KYC Fraud,6337,17:10,1-2 Hours,Mansarovar,"PNB ATM, Rajat Path, Mansarovar"
INC-10044,Udaipur,Job Fraud,94495,16:46,12-24 Hours,Jagatpura,"Union Bank ATM, NRI Colony, Jagatpura"
INC-10045,Alwar,KYC Fraud,10275,23:56,1-2 Hours,Malviya Nagar,"ICICI ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10046,Kota,OLX Scam,12638,11:38,1-2 Hours,Mansarovar,"Union Bank ATM, Kaveri Path, Mansarovar"
INC-10047,Sikar,Credit Card Cloning,129719,04:08,12-24 Hours,Sitapura Industrial,"Bank of Baroda ATM, Tonk Road Junction, Sitapura Industrial"
INC-10048,Alwar,KYC Fraud,20299,13:02,1-2 Hours,Malviya Nagar,"Kotak Mahindra ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10049,Tonk,UPI Scam,11061,09:23,1-2 Hours,Malviya Nagar,"Bank of Baroda ATM, Calgiri Road, Malviya Nagar"
INC-10050,Tonk,UPI Scam,16609,14:59,1-2 Hours,Vaishali Nagar,"HDFC ATM, Nursery Circle, Vaishali Nagar"
INC-10051,Bikaner,UPI Scam,29444,18:53,1-2 Hours,Vaishali Nagar,"SBI ATM, Hanuman Nagar, Vaishali Nagar"
INC-10052,Tonk,Investment Scam,237715,14:58,12-24 Hours,Pratap Nagar,"SBI ATM, Tonk Road, Pratap Nagar"
INC-10053,Ajmer,Job Fraud,73386,09:34,12-24 Hours,Jhotwara,"Bank of Baroda ATM, Kanta Chauraha, Jhotwara"
INC-10054,Ajmer,OLX Scam,10970,14:49,1-2 Hours,Bani Park,"Axis Bank ATM, Kabir Marg, Bani Park"
INC-10055,Ajmer,OLX Scam,20496,10:16,1-2 Hours,Bani Park,"SBI ATM, Peetal Factory, Bani Park"
INC-10056,Ajmer,Investment Scam,162143,02:06,12-24 Hours,Sitapura Industrial,"PNB ATM, India Gate, Sitapura Industrial"
INC-10057,Ajmer,Loan App Fraud,27307,01:29,1-2 Hours,Sitapura Industrial,"Bank of Baroda ATM, India Gate, Sitapura Industrial"
INC-10058,Bhilwara,OLX Scam,16927,14:46,1-2 Hours,Malviya Nagar,"Axis Bank ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10059,Tonk,Job Fraud,49904,00:43,12-24 Hours,Jagatpura,"Axis Bank ATM, SKIT College Road, Jagatpura"
INC-10060,Ajmer,Investment Scam,236376,03:47,12-24 Hours,Pratap Nagar,"ICICI ATM, Tonk Road, Pratap Nagar"
INC-10061,Pali,KYC Fraud,16219,10:34,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Queens Road, Vaishali Nagar"
INC-10062,Bikaner,OLX Scam,15500,18:34,1-2 Hours,Malviya Nagar,"HDFC ATM, Sector 3 Market, Malviya Nagar"
INC-10063,Sikar,Sextortion,168187,04:18,12-24 Hours,Sitapura Industrial,"ICICI ATM, India Gate, Sitapura Industrial"
INC-10064,Jaipur,Investment Scam,84249,02:10,12-24 Hours,Jhotwara,"ICICI ATM, Kalwar Road, Jhotwara"
INC-10065,Bikaner,UPI Scam,11969,17:29,1-2 Hours,Bani Park,"Kotak Mahindra ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-10066,Udaipur,Loan App Fraud,75550,17:28,12-24 Hours,Vaishali Nagar,"HDFC ATM, Hanuman Nagar, Vaishali Nagar"
INC-10067,Bhilwara,Investment Scam,68168,00:52,12-24 Hours,Sitapura Industrial,"PNB ATM, RIICO Phase 1, Sitapura Industrial"
INC-10068,Bhilwara,Loan App Fraud,73074,18:45,12-24 Hours,Vaishali Nagar,"PNB ATM, Amrapali Circle, Vaishali Nagar"
INC-10069,Jaipur,OLX Scam,14376,12:49,1-2 Hours,Mansarovar,"PNB ATM, VT Road Chauraha, Mansarovar"
INC-10070,Ajmer,OLX Scam,19481,17:30,1-2 Hours,Malviya Nagar,"Union Bank ATM, Sector 3 Market, Malviya Nagar"
INC-10071,Tonk,KYC Fraud,22813,06:55,1-2 Hours,Mansarovar,"PNB ATM, Madhyam Marg, Mansarovar"
INC-10072,Tonk,KYC Fraud,9304,13:44,1-2 Hours,Bani Park,"SBI ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-10073,Bikaner,Loan App Fraud,57539,12:25,12-24 Hours,Mansarovar,"Axis Bank ATM, Kissan Dharam Kanta, Mansarovar"
INC-10074,Pali,Job Fraud,15038,14:50,1-2 Hours,Bani Park,"Union Bank ATM, Kabir Marg, Bani Park"
INC-10075,Kota,Job Fraud,70780,06:20,12-24 Hours,Jagatpura,"Bank of Baroda ATM, NRI Colony, Jagatpura"
INC-10076,Sikar,Investment Scam,243817,05:57,12-24 Hours,Malviya Nagar,"Union Bank ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10077,Udaipur,Investment Scam,51443,04:15,12-24 Hours,Sitapura Industrial,"Bank of Baroda ATM, India Gate, Sitapura Industrial"
INC-10078,Ajmer,Credit Card Cloning,229988,23:57,12-24 Hours,Vidyadhar Nagar,"Axis Bank ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10079,Tonk,Investment Scam,139662,23:46,12-24 Hours,Vidyadhar Nagar,"Kotak Mahindra ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10080,Sikar,Investment Scam,152086,02:58,12-24 Hours,Jhotwara,"Kotak Mahindra ATM, Kanta Chauraha, Jhotwara"
INC-10081,Ajmer,Credit Card Cloning,72300,21:27,12-24 Hours,C-Scheme,"PNB ATM, Ahinsa Circle, C-Scheme"
INC-10082,Udaipur,Loan App Fraud,30507,01:53,12-24 Hours,Mansarovar,"PNB ATM, Kissan Dharam Kanta, Mansarovar"
INC-10083,Tonk,Job Fraud,78467,15:05,12-24 Hours,Malviya Nagar,"Union Bank ATM, Calgiri Road, Malviya Nagar"
INC-10084,Sikar,KYC Fraud,6136,13:09,1-2 Hours,Sitapura Industrial,"Bank of Baroda ATM, RIICO Phase 1, Sitapura Industrial"
INC-10085,Pali,UPI Scam,12186,18:52,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Amrapali Circle, Vaishali Nagar"
INC-10086,Tonk,Job Fraud,25941,01:52,1-2 Hours,Vidyadhar Nagar,"ICICI ATM, Sector 2, Vidyadhar Nagar"
INC-10087,Pali,UPI Scam,27401,14:54,1-2 Hours,Mansarovar,"ICICI ATM, Kaveri Path, Mansarovar"
INC-10088,Jodhpur,Credit Card Cloning,190933,02:10,12-24 Hours,Vidyadhar Nagar,"Axis Bank ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10089,Jodhpur,Investment Scam,182334,00:23,12-24 Hours,Sitapura Industrial,"Axis Bank ATM, EPI Zone, Sitapura Industrial"
INC-10090,Sikar,OLX Scam,9537,10:25,1-2 Hours,Vaishali Nagar,"Bank of Baroda ATM, Nursery Circle, Vaishali Nagar"
INC-10091,Bikaner,Credit Card Cloning,150125,23:18,12-24 Hours,Jhotwara,"Kotak Mahindra ATM, Kalwar Road, Jhotwara"
INC-10092,Jaipur,Job Fraud,32788,09:59,12-24 Hours,Mansarovar,"SBI ATM, VT Road Chauraha, Mansarovar"
INC-10093,Jaipur,UPI Scam,12129,14:12,1-2 Hours,Mansarovar,"Union Bank ATM, Madhyam Marg, Mansarovar"
INC-10094,Jaipur,Credit Card Cloning,177350,23:37,12-24 Hours,Sitapura Industrial,"Axis Bank ATM, India Gate, Sitapura Industrial"
INC-10095,Pali,OLX Scam,24716,10:28,1-2 Hours,Vaishali Nagar,"Bank of Baroda ATM, Gandhi Path, Vaishali Nagar"
INC-10096,Sikar,Investment Scam,244549,21:14,12-24 Hours,Bani Park,"Bank of Baroda ATM, Collectorate Circle, Bani Park"
INC-10097,Kota,OLX Scam,10719,11:39,1-2 Hours,Mansarovar,"Union Bank ATM, Madhyam Marg, Mansarovar"
INC-10098,Sikar,Sextortion,147054,23:32,12-24 Hours,Sitapura Industrial,"ICICI ATM, EPI Zone, Sitapura Industrial"
INC-10099,Tonk,KYC Fraud,21339,10:08,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Hanuman Nagar, Vaishali Nagar"
INC-10100,Jodhpur,UPI Scam,27147,09:35,1-2 Hours,Bani Park,"PNB ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-10101,Udaipur,Credit Card Cloning,173571,17:17,12-24 Hours,Vaishali Nagar,"Union Bank ATM, Nursery Circle, Vaishali Nagar"
INC-10102,Ajmer,OLX Scam,28363,10:56,1-2 Hours,Bani Park,"Axis Bank ATM, Peetal Factory, Bani Park"
INC-10103,Bhilwara,OLX Scam,29892,09:16,1-2 Hours,Vaishali Nagar,"ICICI ATM, Amrapali Circle, Vaishali Nagar"
INC-10104,Bikaner,KYC Fraud,20775,07:47,1-2 Hours,Vidyadhar Nagar,"Union Bank ATM, Sector 2, Vidyadhar Nagar"
INC-10105,Jodhpur,Loan App Fraud,45030,09:24,12-24 Hours,Pratap Nagar,"Axis Bank ATM, Sector 11, Pratap Nagar"
INC-10106,Ajmer,Loan App Fraud,62493,06:08,12-24 Hours,Pratap Nagar,"PNB ATM, Sector 16 Market, Pratap Nagar"
INC-10107,Ajmer,KYC Fraud,15978,09:36,1-2 Hours,Mansarovar,"PNB ATM, Patrakar Colony, Mansarovar"
INC-10108,Tonk,UPI Scam,5907,13:01,1-2 Hours,Vaishali Nagar,"PNB ATM, Nursery Circle, Vaishali Nagar"
INC-10109,Kota,Credit Card Cloning,149975,01:38,12-24 Hours,Sitapura Industrial,"Axis Bank ATM, RIICO Phase 1, Sitapura Industrial"
INC-10110,Pali,OLX Scam,15878,22:30,1-2 Hours,Vidyadhar Nagar,"Kotak Mahindra ATM, Sector 2, Vidyadhar Nagar"
INC-10111,Sikar,Investment Scam,133328,18:44,12-24 Hours,Bani Park,"Union Bank ATM, Kabir Marg, Bani Park"
INC-10112,Tonk,Credit Card Cloning,275872,01:58,12-24 Hours,Vidyadhar Nagar,"SBI ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-10113,Alwar,UPI Scam,14227,15:13,1-2 Hours,Mansarovar,"SBI ATM, Kaveri Path, Mansarovar"
INC-10114,Udaipur,UPI Scam,14685,11:37,1-2 Hours,Malviya Nagar,"PNB ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10115,Ajmer,Credit Card Cloning,275677,02:11,12-24 Hours,Vidyadhar Nagar,"ICICI ATM, Central Spine, Vidyadhar Nagar"
INC-10116,Pali,Sextortion,184356,02:23,12-24 Hours,Jhotwara,"Bank of Baroda ATM, Panchawala, Jhotwara"
INC-10117,Sikar,Sextortion,251558,04:45,12-24 Hours,Vidyadhar Nagar,"PNB ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10118,Sikar,Loan App Fraud,82317,22:53,12-24 Hours,C-Scheme,"Kotak Mahindra ATM, Subhash Marg, C-Scheme"
INC-10119,Ajmer,Investment Scam,240669,01:28,12-24 Hours,Vidyadhar Nagar,"Kotak Mahindra ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10120,Tonk,Credit Card Cloning,63843,03:48,12-24 Hours,Vidyadhar Nagar,"Union Bank ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10121,Ajmer,Investment Scam,178902,02:42,12-24 Hours,Pratap Nagar,"Kotak Mahindra ATM, Haldi Ghati Marg, Pratap Nagar"
INC-10122,Bikaner,KYC Fraud,28424,13:23,1-2 Hours,Bani Park,"Bank of Baroda ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-10123,Udaipur,UPI Scam,21290,16:12,1-2 Hours,Mansarovar,"Union Bank ATM, Madhyam Marg, Mansarovar"
INC-10124,Pali,OLX Scam,24082,12:56,1-2 Hours,Bani Park,"PNB ATM, Peetal Factory, Bani Park"
INC-10125,Kota,Credit Card Cloning,213076,02:39,12-24 Hours,Jhotwara,"HDFC ATM, Lata Circle, Jhotwara"
INC-10126,Udaipur,Credit Card Cloning,123031,03:54,12-24 Hours,Sitapura Industrial,"ICICI ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-10127,Tonk,UPI Scam,6744,10:33,1-2 Hours,Vaishali Nagar,"Axis Bank ATM, Gandhi Path, Vaishali Nagar"
INC-10128,Jaipur,OLX Scam,6239,18:44,1-2 Hours,Malviya Nagar,"HDFC ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10129,Pali,Credit Card Cloning,215125,03:20,12-24 Hours,Vidyadhar Nagar,"SBI ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10130,Sikar,UPI Scam,13719,11:05,1-2 Hours,Mansarovar,"Union Bank ATM, Kissan Dharam Kanta, Mansarovar"
INC-10131,Kota,UPI Scam,21551,19:53,1-2 Hours,Malviya Nagar,"Union Bank ATM, Calgiri Road, Malviya Nagar"
INC-10132,Bhilwara,Sextortion,72445,00:17,12-24 Hours,Sitapura Industrial,"ICICI ATM, Tonk Road Junction, Sitapura Industrial"
INC-10133,Bhilwara,Sextortion,168755,01:22,12-24 Hours,Sitapura Industrial,"Bank of Baroda ATM, EPI Zone, Sitapura Industrial"
INC-10134,Ajmer,Credit Card Cloning,171623,10:03,12-24 Hours,Jagatpura,"Kotak Mahindra ATM, Mahal Road, Jagatpura"
INC-10135,Sikar,Job Fraud,60825,08:36,12-24 Hours,Vidyadhar Nagar,"SBI ATM, Central Spine, Vidyadhar Nagar"
INC-10136,Sikar,Credit Card Cloning,254851,01:13,12-24 Hours,Sitapura Industrial,"PNB ATM, EPI Zone, Sitapura Industrial"
INC-10137,Pali,Job Fraud,77646,10:12,12-24 Hours,C-Scheme,"PNB ATM, Ashok Marg, C-Scheme"
INC-10138,Udaipur,Loan App Fraud,54019,20:16,12-24 Hours,Mansarovar,"HDFC ATM, Kaveri Path, Mansarovar"
INC-10139,Jaipur,KYC Fraud,20503,15:47,1-2 Hours,Malviya Nagar,"SBI ATM, Calgiri Road, Malviya Nagar"
INC-10140,Tonk,KYC Fraud,12569,11:55,1-2 Hours,Vaishali Nagar,"PNB ATM, Hanuman Nagar, Vaishali Nagar"
INC-10141,Udaipur,Job Fraud,22865,21:56,1-2 Hours,Mansarovar,"Bank of Baroda ATM, VT Road Chauraha, Mansarovar"
INC-10142,Bhilwara,Sextortion,255156,22:01,12-24 Hours,Vidyadhar Nagar,"PNB ATM, Sector 2, Vidyadhar Nagar"
INC-10143,Udaipur,Investment Scam,146780,02:02,12-24 Hours,Pratap Nagar,"HDFC ATM, Kumbha Marg, Pratap Nagar"
INC-10144,Pali,OLX Scam,22846,20:15,1-2 Hours,Malviya Nagar,"ICICI ATM, Sector 3 Market, Malviya Nagar"
INC-10145,Udaipur,UPI Scam,20189,13:31,1-2 Hours,Mansarovar,"HDFC ATM, Patrakar Colony, Mansarovar"
INC-10146,Jaipur,Loan App Fraud,49374,04:59,12-24 Hours,C-Scheme,"SBI ATM, Statue Circle, C-Scheme"
INC-10147,Ajmer,Sextortion,107390,02:29,12-24 Hours,Jhotwara,"Bank of Baroda ATM, Kanta Chauraha, Jhotwara"
INC-10148,Pali,KYC Fraud,19250,15:26,1-2 Hours,Vidyadhar Nagar,"ICICI ATM, Sector 2, Vidyadhar Nagar"
INC-10149,Kota,KYC Fraud,26047,17:49,1-2 Hours,Bani Park,"Bank of Baroda ATM, Collectorate Circle, Bani Park"
INC-10150,Jodhpur,Loan App Fraud,66845,10:11,12-24 Hours,Vidyadhar Nagar,"SBI ATM, Central Spine, Vidyadhar Nagar"
INC-10151,Bhilwara,OLX Scam,9326,08:32,1-2 Hours,Jhotwara,"Union Bank ATM, Kalwar Road, Jhotwara"
INC-10152,Bikaner,Sextortion,107049,10:58,12-24 Hours,Malviya Nagar,"Axis Bank ATM, JLN Marg, Malviya Nagar"
INC-10153,Alwar,Sextortion,232849,13:12,12-24 Hours,Sitapura Industrial,"Kotak Mahindra ATM, Tonk Road Junction, Sitapura Industrial"
INC-10154,Udaipur,UPI Scam,4740,17:05,1-2 Hours,Malviya Nagar,"Bank of Baroda ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10155,Jodhpur,Job Fraud,58153,06:59,12-24 Hours,Mansarovar,"Union Bank ATM, Kaveri Path, Mansarovar"
INC-10156,Bikaner,KYC Fraud,28381,17:03,1-2 Hours,Bani Park,"Kotak Mahindra ATM, Peetal Factory, Bani Park"
INC-10157,Sikar,UPI Scam,6975,15:10,1-2 Hours,Bani Park,"Bank of Baroda ATM, Kabir Marg, Bani Park"
INC-10158,Jaipur,Loan App Fraud,15542,10:15,1-2 Hours,Pratap Nagar,"PNB ATM, Sector 11, Pratap Nagar"
INC-10159,Kota,Credit Card Cloning,237242,23:04,12-24 Hours,Vidyadhar Nagar,"SBI ATM, Sector 2, Vidyadhar Nagar"
INC-10160,Bikaner,OLX Scam,26942,14:12,1-2 Hours,Malviya Nagar,"Union Bank ATM, JLN Marg, Malviya Nagar"
INC-10161,Jaipur,UPI Scam,4765,17:07,1-2 Hours,Malviya Nagar,"PNB ATM, JLN Marg, Malviya Nagar"
INC-10162,Jodhpur,UPI Scam,3154,03:09,1-2 Hours,Sitapura Industrial,"Union Bank ATM, EPI Zone, Sitapura Industrial"
INC-10163,Ajmer,Credit Card Cloning,241016,00:28,12-24 Hours,Vidyadhar Nagar,"Axis Bank ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-10164,Jaipur,UPI Scam,5991,10:30,1-2 Hours,Malviya Nagar,"Bank of Baroda ATM, JLN Marg, Malviya Nagar"
INC-10165,Ajmer,UPI Scam,16308,16:47,1-2 Hours,Bani Park,"PNB ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-10166,Alwar,Loan App Fraud,32953,15:50,12-24 Hours,Jhotwara,"HDFC ATM, Triton Mall Road, Jhotwara"
INC-10167,Jaipur,Credit Card Cloning,236974,22:28,12-24 Hours,Jhotwara,"Union Bank ATM, Triton Mall Road, Jhotwara"
INC-10168,Tonk,Sextortion,85916,12:17,12-24 Hours,Mansarovar,"Axis Bank ATM, Kaveri Path, Mansarovar"
INC-10169,Kota,KYC Fraud,26825,15:53,1-2 Hours,Bani Park,"Kotak Mahindra ATM, Peetal Factory, Bani Park"
INC-10170,Sikar,OLX Scam,3850,11:29,1-2 Hours,Malviya Nagar,"ICICI ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-10171,Jodhpur,Job Fraud,77209,20:41,12-24 Hours,Sitapura Industrial,"HDFC ATM, India Gate, Sitapura Industrial"
INC-10172,Bhilwara,Investment Scam,283653,03:26,12-24 Hours,Jhotwara,"Axis Bank ATM, Panchawala, Jhotwara"
INC-10173,Ajmer,Investment Scam,288935,11:41,12-24 Hours,Pratap Nagar,"Kotak Mahindra ATM, Sector 16 Market, Pratap Nagar"
INC-10174,Bhilwara,OLX Scam,3079,09:32,1-2 Hours,Malviya Nagar,"PNB ATM, Sector 3 Market, Malviya Nagar"
INC-10175,Pali,Sextortion,115244,04:11,12-24 Hours,Pratap Nagar,"ICICI ATM, Sector 11, Pratap Nagar"
INC-10176,Ajmer,Investment Scam,130467,23:25,12-24 Hours,Jhotwara,"PNB ATM, Kanta Chauraha, Jhotwara"
INC-10177,Bikaner,KYC Fraud,28296,18:43,1-2 Hours,Vaishali Nagar,"Bank of Baroda ATM, Queens Road, Vaishali Nagar"
INC-10178,Sikar,UPI Scam,29934,15:21,1-2 Hours,Mansarovar,"Bank of Baroda ATM, Madhyam Marg, Mansarovar"
INC-10179,Bhilwara,Credit Card Cloning,120456,01:07,12-24 Hours,Vidyadhar Nagar,"Bank of Baroda ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-10180,Kota,Loan App Fraud,41045,14:22,12-24 Hours,Vaishali Nagar,"Bank of Baroda ATM, Amrapali Circle, Vaishali Nagar"
INC-10181,Sikar,Investment Scam,203487,15:28,12-24 Hours,Bani Park,"Bank of Baroda ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-10182,Ajmer,Investment Scam,190847,02:47,12-24 Hours,Jhotwara,"PNB ATM, Panchawala, Jhotwara"
INC-10183,Bhilwara,Loan App Fraud,82932,07:56,12-24 Hours,Mansarovar,"Axis Bank ATM, Madhyam Marg, Mansarovar"
INC-10184,Udaipur,OLX Scam,23068,10:14,1-2 Hours,Mansarovar,"Axis Bank ATM, Patrakar Colony, Mansarovar"
INC-10185,Alwar,OLX Scam,21524,11:42,1-2 Hours,Vaishali Nagar,"PNB ATM, Queens Road, Vaishali Nagar"
INC-10186,Udaipur,Job Fraud,40967,10:33,12-24 Hours,C-Scheme,"ICICI ATM, Ahinsa Circle, C-Scheme"
INC-10187,Jaipur,Sextortion,243906,22:10,12-24 Hours,Sitapura Industrial,"Kotak Mahindra ATM, RIICO Phase 1, Sitapura Industrial"
INC-10188,Jaipur,Loan App Fraud,85047,03:21,12-24 Hours,Jhotwara,"ICICI ATM, Triton Mall Road, Jhotwara"
INC-10189,Sikar,OLX Scam,3902,23:59,1-2 Hours,Bani Park,"Union Bank ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-10190,Sikar,KYC Fraud,28535,09:17,1-2 Hours,Malviya Nagar,"Axis Bank ATM, JLN Marg, Malviya Nagar"
INC-10191,Bikaner,UPI Scam,27810,19:59,1-2 Hours,Mansarovar,"Bank of Baroda ATM, Rajat Path, Mansarovar"
INC-10192,Udaipur,Loan App Fraud,94679,00:46,12-24 Hours,Jhotwara,"Union Bank ATM, Lata Circle, Jhotwara"
INC-10193,Jaipur,OLX Scam,8380,18:08,1-2 Hours,Malviya Nagar,"Bank of Baroda ATM, Apex Circle, Malviya Nagar"
