complaint_id,date,location_zone,complaint_type,payment_method,transaction_amount,withdrawal_zone,hour,day_of_week,month
119,2025-10-20,Zone_G,Card_Fraud,Net_Banking,92935,Zone_F,4,0,10
120,2025-04-09,Zone_G,Phishing,Net_Banking,70181,Zone_F,14,2,4
121,2025-06-21,Zone_H,Investment_Fraud,Credit_Card,32601,Zone_F,3,5,6
122,2025-12-26,Zone_G,Phishing,Credit_Card,3275,Zone_G,11,4,12
123,2025-08-02,Zone_C,UPI_Fraud,UPI,97683,Zone_H,12,5,8
124,2025-02-04,Zone_B,Investment_Fraud,UPI,46119,Zone_H,1,1,2
125,2025-08-15,Zone_G,UPI_Fraud,Net_Banking,46338,Zone_E,18,4,8
126,2025-04-11,Zone_D,Phishing,Net_Banking,20039,Zone_C,18,4,4
127,2025-05-11,Zone_F,Investment_Fraud,UPI,57624,Zone_D,3,6,5
128,2025-09-14,Zone_D,Phishing,UPI,65649,Zone_C,3,6,9
129,2025-01-05,Zone_G,Investment_Fraud,Debit_Card,27116,Zone_E,10,6,1
130,2025-08-06,Zone_H,Phishing,Debit_Card,80155,Zone_A,4,2,8
131,2025-09-12,Zone_F,Card_Fraud,UPI,91195,Zone_E,19,4,9
132,2025-12-25,Zone_E,Phishing,Debit_Card,55067,Zone_F,10,3,12
133,2025-10-10,Zone_D,Card_Fraud,Wallet,37599,Zone_G,9,4,10
134,2025-07-26,Zone_H,Phishing,Net_Banking,76331,Zone_A,7,5,7
135,2025-01-15,Zone_B,Investment_Fraud,Net_Banking,62299,Zone_G,5,2,1
136,2025-12-12,Zone_B,Investment_Fraud,UPI,90721,Zone_F,5,4,12
137,2025-02-11,Zone_D,Investment_Fraud,Credit_Card,25979,Zone_B,7,1,2
138,2025-06-28,Zone_G,Online_Shopping_Fraud,UPI,46672,Zone_E,22,5,6
139,2025-03-04,Zone_H,UPI_Fraud,Debit_Card,99665,Zone_E,14,1,3
140,2025-12-18,Zone_B,Investment_Fraud,Credit_Card,56363,Zone_D,13,3,12
141,2025-08-19,Zone_E,Card_Fraud,Debit_Card,42543,Zone_C,10,1,8
142,2025-08-29,Zone_A,Investment_Fraud,Wallet,83069,Zone_A,11,4,8
143,2025-02-21,Zone_G,Online_Shopping_Fraud,Debit_Card,15908,Zone_H,12,4,2
144,2025-04-06,Zone_H,Card_Fraud,Wallet,58480,Zone_G,7,6,4
145,2025-08-10,Zone_E,Online_Shopping_Fraud,Wallet,83456,Zone_A,17,6,8
146,2025-08-19,Zone_H,Card_Fraud,Debit_Card,16851,Zone_D,0,1,8
147,2025-08-25,Zone_F,Phishing,Debit_Card,4631,Zone_D,14,0,8
148,2025-05-23,Zone_E,UPI_Fraud,Wallet,45325,Zone_G,7,4,5
149,2025-06-20,Zone_G,UPI_Fraud,Credit_Card,11849,Zone_H,10,4,6
150,2025-01-29,Zone_F,Online_Shopping_Fraud,Wallet,61431,Zone_C,11,2,1
151,2025-02-05,Zone_G,UPI_Fraud,Net_Banking,44754,Zone_G,11,2,2
152,2025-01-13,Zone_B,Online_Shopping_Fraud,Wallet,38725,Zone_G,3,0,1
153,2025-06-09,Zone_A,Online_Shopping_Fraud,Credit_Card,12953,Zone_F,15,0,6
154,2025-11-23,Zone_G,Online_Shopping_Fraud,Net_Banking,19314,Zone_H,3,6,11
155,2025-07-06,Zone_G,UPI_Fraud,UPI,18763,Zone_C,4,6,7
156,2025-08-31,Zone_B,Online_Shopping_Fraud,UPI,78194,Zone_E,23,6,8
157,2025-03-27,Zone_C,UPI_Fraud,Credit_Card,16235,Zone_F,4,3,3
158,2025-10-11,Zone_B,Online_Shopping_Fraud,Wallet,16330,Zone_B,7,5,10
159,2025-03-07,Zone_F,Investment_Fraud,Debit_Card,48393,Zone_H,9,4,3
160,2025-06-19,Zone_B,Online_Shopping_Fraud,Credit_Card,45173,Zone_C,16,3,6
161,2025-02-14,Zone_B,Card_Fraud,Net_Banking,89962,Zone_D,8,4,2
162,2025-03-03,Zone_A,Online_Shopping_Fraud,Net_Banking,45566,Zone_F,21,0,3
163,2025-05-14,Zone_B,Phishing,UPI,3873,Zone_C,18,2,5
164,2025-10-11,Zone_H,Online_Shopping_Fraud,Net_Banking,10835,Zone_A,13,5,10
165,2025-01-28,Zone_G,Card_Fraud,Credit_Card,24241,Zone_G,7,1,1
166,2025-04-18,Zone_H,Card_Fraud,Net_Banking,11192,Zone_B,8,4,4
167,2025-02-13,Zone_A,UPI_Fraud,Credit_Card,47795,Zone_E,21,3,2
168,2025-12-06,Zone_D,Investment_Fraud,Debit_Card,46041,Zone_G,10,5,12
169,2025-10-13,Zone_C,Online_Shopping_Fraud,UPI,34557,Zone_A,22,0,10
170,2025-11-27,Zone_H,UPI_Fraud,Net_Banking,67483,Zone_A,0,3,11
171,2025-05-08,Zone_A,Investment_Fraud,Credit_Card,20083,Zone_B,13,3,5
172,2025-12-14,Zone_F,Online_Shopping_Fraud,Wallet,23265,Zone_E,4,6,12
173,2025-08-19,Zone_D,Phishing,UPI,59787,Zone_D,20,1,8
174,2025-07-09,Zone_A,Online_Shopping_Fraud,Debit_Card,24406,Zone_F,13,2,7
175,2025-08-13,Zone_A,Card_Fraud,Credit_Card,85603,Zone_H,3,2,8
176,2025-10-10,Zone_C,Card_Fraud,Debit_Card,80175,Zone_E,21,4,10
177,2025-05-01,Zone_G,Phishing,Debit_Card,47025,Zone_H,22,3,5
178,2025-04-26,Zone_H,UPI_Fraud,Net_Banking,38730,Zone_C,0,5,4
179,2025-08-21,Zone_F,Investment_Fraud,Net_Banking,20020,Zone_A,21,3,8
180,2025-09-16,Zone_E,Online_Shopping_Fraud,Credit_Card,85738,Zone_C,22,1,9
181,2025-12-25,Zone_H,Card_Fraud,Wallet,52434,Zone_D,18,3,12
182,2025-07-17,Zone_E,UPI_Fraud,Credit_Card,26066,Zone_C,7,3,7
183,2025-05-17,Zone_A,Phishing,Wallet,73693,Zone_E,14,5,5
184,2025-11-14,Zone_B,Card_Fraud,Debit_Card,30634,Zone_C,20,4,11
185,2025-06-14,Zone_F,Phishing,UPI,10845,Zone_D,14,5,6
186,2025-08-13,Zone_D,Online_Shopping_Fraud,Credit_Card,41685,Zone_D,8,2,8
187,2025-11-03,Zone_B,Investment_Fraud,Credit_Card,93449,Zone_D,20,0,11
188,2025-08-22,Zone_B,Card_Fraud,Wallet,71244,Zone_E,8,4,8
189,2025-06-21,Zone_H,Card_Fraud,Debit_Card,33955,Zone_D,9,5,6
190,2025-06-01,Zone_F,Online_Shopping_Fraud,Debit_Card,28518,Zone_A,19,6,6
191,2025-11-11,Zone_G,UPI_Fraud,Wallet,54719,Zone_G,20,1,11
192,2025-06-09,Zone_A,Investment_Fraud,Debit_Card,46491,Zone_D,8,0,6
193,2025-04-06,Zone_A,Card_Fraud,Net_Banking,74116,Zone_C,2,6,4
194,2025-08-21,Zone_A,Investment_Fraud,UPI,87938,Zone_F,19,3,8
195,2025-06-29,Zone_A,Card_Fraud,Credit_Card,9986,Zone_C,10,6,6
196,2025-04-23,Zone_H,Investment_Fraud,UPI,39362,Zone_F,5,2,4
197,2025-11-14,Zone_E,Phishing,Credit_Card,59370,Zone_C,1,4,11
198,2025-02-21,Zone_A,Card_Fraud,Net_Banking,87194,Zone_E,6,4,2
199,2025-09-25,Zone_E,Investment_Fraud,Debit_Card,44356,Zone_C,17,3,9
200,2025-10-22,Zone_E,UPI_Fraud,Wallet,86555,Zone_E,1,2,10
201,2025-04-23,Zone_G,Phishing,Net_Banking,31879,Zone_E,16,2,4
202,2025-04-11,Zone_A,Phishing,UPI,65229,Zone_D,10,4,4
203,2025-04-23,Zone_C,UPI_Fraud,Wallet,28878,Zone_A,11,2,4
204,2025-03-22,Zone_D,Investment_Fraud,Debit_Card,54853,Zone_F,18,5,3
205,2025-07-06,Zone_B,Online_Shopping_Fraud,Net_Banking,50496,Zone_D,21,6,7
206,2025-04-23,Zone_E,UPI_Fraud,Wallet,14531,Zone_D,23,2,4
207,2025-01-02,Zone_F,Investment_Fraud,Net_Banking,80572,Zone_G,6,3,1
208,2025-05-10,Zone_F,UPI_Fraud,Net_Banking,66482,Zone_E,19,5,5
209,2025-08-08,Zone_D,UPI_Fraud,Debit_Card,37183,Zone_E,5,4,8
210,2025-02-23,Zone_F,Card_Fraud,Credit_Card,18118,Zone_F,20,6,2
211,2025-12-09,Zone_C,Investment_Fraud,Wallet,7087,Zone_C,23,1,12
212,2025-08-12,Zone_F,Online_Shopping_Fraud,Debit_Card,63290,Zone_C,0,1,8
213,2025-08-13,Zone_B,Card_Fraud,Net_Banking,31980,Zone_H,16,2,8
214,2025-05-06,Zone_B,UPI_Fraud,Debit_Card,99030,Zone_D,10,1,5
215,2025-05-10,Zone_E,UPI_Fraud,Credit_Card,21027,Zone_H,21,5,5
216,2025-02-22,Zone_A,UPI_Fraud,Wallet,24069,Zone_B,17,5,2
217,2025-06-21,Zone_G,Investment_Fraud,Credit_Card,11651,Zone_B,20,5,6
218,2025-08-06,Zone_C,Investment_Fraud,UPI,71594,Zone_H,16,2,8
219,2025-06-09,Zone_E,Card_Fraud,Wallet,59674,Zone_C,6,0,6
220,2025-07-17,Zone_C,Online_Shopping_Fraud,Credit_Card,45239,Zone_B,16,3,7
221,2025-09-04,Zone_A,Card_Fraud,Net_Banking,33454,Zone_G,19,3,9
222,2025-11-20,Zone_H,Phishing,Wallet,35803,Zone_C,8,3,11
223,2025-07-22,Zone_F,UPI_Fraud,Wallet,35200,Zone_E,16,1,7
224,2025-07-03,Zone_F,UPI_Fraud,Debit_Card,93536,Zone_D,19,3,7
225,2025-05-03,Zone_G,UPI_Fraud,Net_Banking,68068,Zone_A,21,5,5
226,2025-09-12,Zone_A,Card_Fraud,UPI,67288,Zone_D,21,4,9
227,2025-10-21,Zone_E,Card_Fraud,Credit_Card,71545,Zone_H,7,1,10
228,2025-10-07,Zone_G,UPI_Fraud,Debit_Card,38342,Zone_C,16,1,10
229,2025-11-21,Zone_A,Card_Fraud,Credit_Card,14400,Zone_H,6,4,11
230,2025-04-08,Zone_D,Investment_Fraud,UPI,80559,Zone_G,0,1,4
231,2025-07-17,Zone_B,Investment_Fraud,UPI,2381,Zone_C,12,3,7
232,2025-08-28,Zone_G,Card_Fraud,Wallet,33537,Zone_D,22,3,8
233,2025-05-24,Zone_G,UPI_Fraud,UPI,2130,Zone_G,18,5,5
234,2025-04-07,Zone_E,Card_Fraud,Credit_Card,21289,Zone_G,23,0,4
235,2025-07-20,Zone_C,Card_Fraud,Net_Banking,88559,Zone_G,18,6,7
236,2025-05-04,Zone_D,Card_Fraud,Net_Banking,83994,Zone_F,16,6,5
237,2025-07-06,Zone_E,Phishing,Wallet,46651,Zone_C,12,6,7
238,2025-11-22,Zone_A,Investment_Fraud,Credit_Card,49420,Zone_B,15,5,11
239,2025-12-15,Zone_A,Online_Shopping_Fraud,Credit_Card,67731,Zone_B,7,0,12
240,2025-09-16,Zone_A,Online_Shopping_Fraud,UPI,80857,Zone_C,18,1,9
241,2025-05-28,Zone_H,Phishing,Credit_Card,3762,Zone_C,17,2,5
242,2025-09-09,Zone_A,Card_Fraud,Debit_Card,67481,Zone_F,0,1,9
243,2025-12-12,Zone_C,Phishing,UPI,82472,Zone_B,13,4,12
244,2025-05-27,Zone_D,Phishing,Debit_Card,75985,Zone_C,18,1,5
245,2025-05-28,Zone_F,UPI_Fraud,Wallet,55222,Zone_C,14,2,5
246,2025-12-18,Zone_B,Investment_Fraud,Net_Banking,89999,Zone_H,17,3,12
247,2025-07-18,Zone_C,Online_Shopping_Fraud,Wallet,51318,Zone_F,1,4,7
248,2025-11-04,Zone_C,Card_Fraud,Net_Banking,30432,Zone_F,21,1,11
249,2025-05-08,Zone_H,Online_Shopping_Fraud,Wallet,7401,Zone_D,16,3,5
250,2025-02-08,Zone_F,Online_Shopping_Fraud,Credit_Card,99523,Zone_F,17,5,2
251,2025-12-04,Zone_F,Investment_Fraud,Debit_Card,9097,Zone_A,5,3,12
252,2025-12-26,Zone_B,Online_Shopping_Fraud,Net_Banking,64409,Zone_B,18,4,12
253,2025-05-09,Zone_B,Online_Shopping_Fraud,UPI,72891,Zone_D,3,4,5
254,2025-09-24,Zone_F,Phishing,Debit_Card,84714,Zone_A,0,2,9
255,2025-05-31,Zone_A,Investment_Fraud,UPI,8763,Zone_C,7,5,5
256,2025-10-25,Zone_C,UPI_Fraud,Debit_Card,63793,Zone_H,22,5,10
257,2025-04-09,Zone_E,Card_Fraud,Debit_Card,26305,Zone_H,6,2,4
258,2025-09-20,Zone_B,Online_Shopping_Fraud,Wallet,92179,Zone_C,2,5,9
259,2025-09-09,Zone_H,Card_Fraud,Net_Banking,12374,Zone_D,9,1,9
260,2025-05-24,Zone_H,UPI_Fraud,Net_Banking,93565,Zone_F,9,5,5
261,2025-12-12,Zone_B,Card_Fraud,Debit_Card,86902,Zone_G,18,4,12
262,2025-04-22,Zone_F,UPI_Fraud,Credit_Card,14579,Zone_H,13,1,4
263,2025-03-01,Zone_D,Phishing,Credit_Card,50350,Zone_G,1,5,3
264,2025-01-02,Zone_E,Online_Shopping_Fraud,UPI,73279,Zone_C,0,3,1
265,2025-10-31,Zone_E,UPI_Fraud,UPI,95908,Zone_G,22,4,10
266,2025-09-11,Zone_B,Card_Fraud,Wallet,9518,Zone_E,22,3,9
267,2025-05-20,Zone_A,Online_Shopping_Fraud,Debit_Card,50000,Zone_D,17,1,5
268,2025-02-06,Zone_D,Phishing,UPI,12600,Zone_A,6,3,2
269,2025-06-09,Zone_E,Online_Shopping_Fraud,UPI,57521,Zone_D,7,0,6
270,2025-01-09,Zone_B,UPI_Fraud,Debit_Card,20300,Zone_B,0,3,1
271,2025-08-21,Zone_H,Phishing,Wallet,63900,Zone_F,22,3,8
272,2025-04-09,Zone_E,Card_Fraud,UPI,92946,Zone_F,2,2,4
273,2025-05-27,Zone_G,Phishing,Wallet,29937,Zone_D,23,1,5
274,2025-10-31,Zone_D,Phishing,Net_Banking,77037,Zone_C,22,4,10
275,2025-07-27,Zone_D,Investment_Fraud,Wallet,47175,Zone_C,7,6,7
276,2025-05-11,Zone_G,Phishing,Credit_Card,20442,Zone_E,21,6,5
277,2025-06-01,Zone_C,Phishing,Credit_Card,21362,Zone_E,14,6,6
278,2025-02-23,Zone_H,Online_Shopping_Fraud,Wallet,12169,Zone_F,4,6,2
279,2025-04-30,Zone_G,Card_Fraud,Credit_Card,54272,Zone_E,2,2,4
280,2025-06-10,Zone_F,Online_Shopping_Fraud,Net_Banking,16416,Zone_H,18,1,6
281,2025-04-26,Zone_F,Online_Shopping_Fraud,Debit_Card,11378,Zone_H,0,5,4
282,2025-03-16,Zone_B,UPI_Fraud,Credit_Card,3485,Zone_A,14,6,3
283,2025-04-23,Zone_D,Online_Shopping_Fraud,Credit_Card,98405,Zone_E,7,2,4
284,2025-04-14,Zone_C,Investment_Fraud,Wallet,74148,Zone_A,1,0,4
285,2025-12-06,Zone_C,Investment_Fraud,Net_Banking,41735,Zone_E,2,5,12
286,2025-09-11,Zone_E,UPI_Fraud,Debit_Card,19431,Zone_F,23,3,9
287,2025-08-15,Zone_E,Card_Fraud,Wallet,93376,Zone_F,13,4,8
288,2025-04-22,Zone_G,Card_Fraud,Wallet,836,Zone_A,23,1,4
289,2025-04-09,Zone_C,Online_Shopping_Fraud,Net_Banking,43433,Zone_D,13,2,4
290,2025-06-02,Zone_G,Online_Shopping_Fraud,Debit_Card,85399,Zone_F,10,0,6
291,2025-12-15,Zone_H,Online_Shopping_Fraud,Net_Banking,46036,Zone_D,15,0,12
292,2025-12-04,Zone_G,Card_Fraud,Debit_Card,70004,Zone_C,3,3,12
293,2025-07-13,Zone_E,Phishing,Net_Banking,99714,Zone_H,19,6,7
294,2025-11-06,Zone_D,Investment_Fraud,Wallet,51648,Zone_A,4,3,11
295,2025-06-12,Zone_G,Phishing,Wallet,16779,Zone_G,21,3,6
296,2025-07-27,Zone_A,Phishing,UPI,69165,Zone_F,20,6,7
297,2025-06-18,Zone_D,Card_Fraud,Credit_Card,71886,Zone_B,13,2,6
298,2025-06-10,Zone_C,Phishing,Net_Banking,86624,Zone_C,22,1,6
299,2025-03-09,Zone_C,UPI_Fraud,UPI,77985,Zone_D,15,6,3
300,2025-10-16,Zone_G,Online_Shopping_Fraud,Credit_Card,74555,Zone_F,17,3,10
301,2025-10-04,Zone_D,UPI_Fraud,Net_Banking,92411,Zone_A,6,5,10
302,2025-10-31,Zone_E,Investment_Fraud,Debit_Card,99118,Zone_G,9,4,10
303,2025-05-15,Zone_E,Online_Shopping_Fraud,Credit_Card,77773,Zone_E,6,3,5
304,2025-07-14,Zone_F,Phishing,Wallet,67170,Zone_G,0,0,7
305,2025-05-08,Zone_C,Investment_Fraud,UPI,76974,Zone_B,22,3,5
306,2025-02-02,Zone_B,Online_Shopping_Fraud,Credit_Card,54528,Zone_D,20,6,2
307,2025-06-25,Zone_F,Phishing,Credit_Card,90522,Zone_C,18,2,6
308,2025-01-22,Zone_E,UPI_Fraud,Wallet,92132,Zone_G,15,2,1
